trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 1}",30,0,-103.83836034651665,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
112,False,"{'a': 0.5, 'e': 1}",20,0,-124.68291175087516,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 1}",20,0,-122.89810243685241,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 1}",30,0,-145.94214518770463,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
115,False,"{'a': 0.5, 'e': 1}",20,0,-100.86443807668138,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
116,False,"{'a': 0.5, 'e': 1}",20,0,-170.41404668174846,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
117,False,"{'a': 0.5, 'e': 1}",20,0,-80.90894629447835,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 1}",30,0,-157.0345757934466,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
119,False,"{'a': 0.5, 'e': 1}",20,0,-87.40176941860231,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 1}",20,0,-102.79252635096265,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
121,False,"{'a': 0.5, 'e': 1}",25,0,-268.7612864759424,"{0: 12, 1: 2, 2: 3, 3: 4, 4: 4}",0
122,False,"{'a': 0.5, 'e': 1}",20,0,-38.14927830947324,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 1}",20,0,-186.9941844647421,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
124,False,"{'a': 0.5, 'e': 1}",25,0,-104.85592052375425,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 1}",25,0,-135.00287980281502,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
